"country","2020-01","2020-02","2020-03","2020-04","2020-05","2020-06","2020-07","2020-08","2020-09","2020-10","2020-11","2020-12","2021-01","2021-02","2021-03","2021-04","2021-05","2021-06","2021-07","2021-08","2021-09","2021-10","2021-11","2021-12","2022-01","2022-02","2022-03","2022-04","2022-05","2022-06","2022-07","2022-08","2022-09","2022-10","2022-11","2022-12","2023-01","2023-02","2023-03"
"Azerbaijan",0,0,298,1804,5494,17524,31878,36435,40229,55269,121176,218700,230219,234537,261713,319109,333956,336047,343849,424891,483902,531370,588318,616947,658470,785670,791932,792562,792767,793176,798838,813437,821440,823258,824337,826401,827944,828548,828825
"Bahamas",0,0,14,81,102,104,574,2217,4123,6714,7541,7871,8174,8519,9119,10453,11796,12586,14840,18139,20984,22351,22791,24476,32562,33135,33283,33558,34759,35975,36724,37075,37290,37386,37483,37491,37491,37491,37491
"Bahrain",0,41,567,3040,11398,26758,40982,51972,70864,81645,86956,92675,103057,122394,144445,176934,240531,265827,269186,272540,275057,276829,277690,282062,374575,514883,554469,568706,585665,625856,659647,671697,680559,690187,696332,698737,700452,707480,710693
"Bangladesh",0,0,51,7667,47153,145483,237661,312996,363479,407684,464932,513510,535139,546216,611295,759132,800540,913258,1249484,1500618,1555911,1569539,1576284,1585539,1798833,1943577,1951577,1952691,1953507,1973789,2005257,2011946,2025197,2035240,2036585,2037125,2037556,2037773,2037871
"Barbados",0,0,34,81,92,97,110,174,190,237,276,383,1545,3068,3652,3855,4017,4081,4390,5032,8381,17763,25316,28565,44430,55165,59272,70080,80654,84421,92086,101120,102580,103014,104416,105515,106157,106645,106798
"Belarus",0,1,152,14027,42556,62118,67808,71843,78631,98482,136647,194284,248336,287306,321807,358738,394439,417189,446040,481532,538086,600168,654718,699110,742953,919736,962707,980345,982867,982867,994037,994037,994037,994037,994037,994037,994037,994037,994037
"Belgium",0,1,12775,48519,58381,61427,68751,85236,118452,429229,577345,646496,710153,771511,882453,990229,1062001,1085131,1124715,1184664,1244954,1360650,1766035,2105343,3155239,3557314,3851048,4056448,4152558,4246078,4414255,4482315,4544505,4612239,4639411,4668248,4691499,4717655,4739365
"Belize",0,0,3,18,18,24,48,1007,1992,3487,5854,10776,11908,12293,12456,12668,12809,13251,14163,16353,20801,26798,30431,32840,50487,56694,57280,57497,59365,63966,67111,68302,68854,68943,69048,69946,70660,70757,70757
"Benin",0,0,9,64,339,1199,1805,2145,2357,2643,3015,3251,3893,5434,7100,7821,8058,8199,8394,13366,23890,24749,24850,24935,26450,26567,26952,26952,26952,27216,27316,27490,27638,27782,27980,27982,27989,27990,27999
"Bhutan",0,0,4,7,43,77,101,225,282,349,410,670,859,867,873,1074,1620,2100,2515,2596,2601,2621,2640,2660,4891,12702,28101,59163,59628,59729,60368,61076,61969,62380,62503,62524,62605,62615,62627
"Bosnia and Herzegovina",0,0,420,1757,2510,4453,11876,19964,27469,50090,87901,110985,121497,130979,169626,198461,204012,205022,205655,213853,234775,252758,275065,291313,347467,371202,375440,377087,377904,378716,384976,395850,398750,399963,400548,400992,401384,401575,401729
"Botswana",0,0,4,23,35,227,804,1633,3172,6642,10742,14805,21293,28371,39848,46934,54973,69680,106690,156927,179220,186594,195068,219509,253036,263950,305526,305984,308126,322769,325470,325864,326308,326344,326633,328760,329227,329727,329758
"Brazil",0,2,5717,87187,516137,1412669,2670451,3914829,4817365,5537763,6341965,7681032,9208521,10558091,12763392,14675104,16557888,18570296,19922146,20785196,21432362,21814625,22100143,22291839,25463530,28796571,29951670,30448236,31019038,32358018,33833900,34429853,34672524,34828749,35227599,36331281,36824580,37052936,37081209
"Bulgaria",0,0,399,1506,2513,4989,11690,16266,20833,52844,145300,202266,218748,247038,342633,404380,418577,421829,425054,455742,502162,602492,695057,747108,951965,1091279,1138923,1156729,1165167,1172239,1206688,1242910,1259471,1279082,1287256,1292104,1295426,1296853,1297523
"Burkina Faso",0,0,261,645,847,962,1106,1368,2056,2500,2886,6707,10682,11982,12717,13310,13434,13479,13573,13777,14243,14793,16000,17632,20624,20751,20853,20865,20899,21044,21128,21128,21631,21631,21631,22006,22025,22056,22056
"Burundi",0,0,2,11,63,170,387,445,508,585,688,818,1632,2209,2810,3995,4790,5452,7080,11994,17728,20039,20415,27366,37432,38127,38509,39998,42034,42658,45308,49287,50193,50470,51018,51722,53355,53609,53631
"Cabo Verde",0,0,6,121,435,1227,2451,3884,6024,8793,10761,11840,14070,15400,17470,23882,30439,32457,33791,35354,37576,38215,38370,41732,55695,55886,55952,56022,56324,60542,62159,62320,62374,62397,63037,63200,63229,63244,63244
"Cambodia",1,1,109,122,125,141,239,274,277,291,326,378,466,820,2440,13402,30094,50385,77243,93055,112651,118522,120134,120493,121355,130276,135625,136251,136262,136279,136789,137620,137877,137991,138099,138584,138693,138717,138719
"Cameroon",0,0,193,1832,5904,12592,17255,19142,20838,21793,24445,26277,29617,35714,47669,72250,78929,80858,82064,83425,92303,102499,106794,109367,116718,119240,119544,119780,119947,120068,120215,121652,121652,123629,123993,123993,123993,124392,124392
"Canada",4,33,10711,57214,92067,104608,116886,129594,162560,237844,383468,590249,782912,870022,990662,1230530,1387091,1419748,1434967,1504281,1629026,1720166,1798195,2223735,3073654,3302400,3489910,3765164,3884160,3962334,4092722,4194892,4279316,4368845,4432426,4505142,4564114,4602806,4617095
"Central African Republic",0,0,3,50,1011,3745,4608,4711,4829,4866,4913,4963,4981,5004,5161,6411,7091,7141,7151,11296,11371,11518,11708,12163,13919,14225,14649,14649,14649,14649,14764,14862,14913,15260,15311,15351,15368,15368,15368
"Chad",0,0,7,73,778,866,936,1013,1200,1483,1688,2113,3376,3973,4533,4817,4931,4951,4973,4992,5038,5069,5107,5703,7155,7255,7310,7411,7417,7425,7432,7538,7583,7627,7646,7650,7652,7678,7679
"Chile",0,2,2844,17702,123550,279393,355667,411726,462991,510256,551743,608973,727109,824625,995538,1198245,1384346,1555902,1615771,1638675,1654264,1695048,1762751,1806494,2165984,3061019,3470936,3558631,3702941,3990693,4241546,4508422,4624307,4760186,4920010,5037527,5118981,5166328,5192286
"China",9802,79356,83786,86828,87496,88311,91500,94310,95536,97153,99245,102571,107827,108997,110109,111290,112286,113577,115341,117950,119726,121396,123638,127896,134345,400569,1385495,2015624,2096684,2134718,2260777,2498088,2757442,2952291,3719252,4584205,4903497,4903524,4903524
"Colombia",0,0,906,6507,29383,97846,295508,615094,829679,1074184,1316806,1642775,2094884,2251690,2406377,2859724,3406456,4240982,4785320,4909086,4957277,5002387,5069644,5157440,5887261,6064583,6084916,6092667,6103455,6175181,6265798,6299595,6307372,6309716,6312657,6336660,6352923,6357173,6359093
"Comoros",0,0,0,1,106,303,378,423,479,545,611,823,2726,3571,3696,3834,3881,3936,4028,4068,4141,4259,4501,6515,7832,8033,8086,8105,8120,8139,8315,8455,8471,8762,8965,8982,8992,8998,9008
"Costa Rica",0,0,347,719,1056,3459,17820,41287,75760,109971,139638,169321,193276,204341,216764,250991,318986,367938,406814,463726,532185,559698,566839,570556,694865,806928,838537,852074,891038,904934,1028375,1088716,1117989,1133096,1146135,1161687,1186176,1199055,1209725
"Croatia",0,6,867,2076,2246,2777,5139,10269,16593,49316,128442,210837,232426,242973,271632,332183,356181,359872,363615,373998,404790,470348,608205,715245,937167,1054794,1099176,1122459,1136500,1148528,1186739,1213658,1232379,1246947,1253761,1263901,1267580,1268992,1269326
"Cuba",0,0,186,1501,2045,2341,2608,4032,5597,6887,8284,11863,26686,49779,75263,106707,142266,190993,384596,652855,877428,952001,962486,966004,1044790,1069862,1090285,1102941,1105319,1106023,1108094,1110539,1111186,1111285,1111392,1111993,1112438,1112598,1112643
"Cyprus",0,0,230,843,943,996,1084,1487,1743,4217,10383,22346,31227,34935,46105,66202,73483,76552,102926,115310,120143,124017,134473,166827,256746,322516,430726,480220,489963,504717,562911,576278,587994,599118,614237,631111,642663,649093,650685
"Czechia",0,0,3308,7682,9268,11954,16574,24618,70763,335102,523298,718661,984774,1235480,1532332,1630758,1661272,1667287,1673576,1679189,1691489,1762902,2150042,2475729,3115889,3774273,4066564,4166475,4184645,4201201,4269766,4348510,4442820,4519021,4558202,4579875,4589483,4609820,4618256
